date,close
2012-07-24,76.8
2012-07-25,76.64
2012-07-26,80.01
2012-07-27,81.08
2012-07-30,81.07
2012-07-31,79.22
2012-08-01,79.88
2012-08-02,78.99
2012-08-03,81.75
2012-08-06,81.97
2012-08-07,82.75
2012-08-08,82.22
2012-08-09,81.9
2012-08-10,81.09
2012-08-13,80.9
2012-08-14,80.56
2012-08-15,81.13
2012-08-16,81.08
2012-08-17,80.98
2012-08-20,81.46
2012-08-21,81.66
2012-08-22,81.57
2012-08-23,80.94
2012-08-24,82.24
2012-08-27,82.62
2012-08-28,84.01
2012-08-29,83.81
2012-08-30,83.35
2012-08-31,84.18
2012-09-04,85.47
2012-09-05,86.29
2012-09-06,87.54
2012-09-07,86.95
2012-09-10,84.27
2012-09-11,85.03
2012-09-12,83.98
2012-09-13,85.29
2012-09-14,85.37
2012-09-17,85.17
2012-09-18,86.11
2012-09-19,86.55
2012-09-20,87.0
2012-09-21,87.01
2012-09-24,86.82
2012-09-25,86.46
2012-09-26,87.54
2012-09-27,86.66
2012-09-28,85.91
2012-10-01,85.55
2012-10-02,88.43
2012-10-03,88.38
2012-10-04,88.67
2012-10-05,90.27
2012-10-08,89.65
2012-10-09,87.31
2012-10-10,86.74
2012-10-11,86.92
2012-10-12,86.82
2012-10-15,86.91
2012-10-16,88.87
2012-10-17,88.55
2012-10-18,86.37
2012-10-19,85.57
2012-10-22,86.18
2012-10-23,86.09
2012-10-24,85.46
2012-10-25,85.53
2012-10-26,85.21
2012-10-31,83.8
2012-11-01,82.78
2012-11-02,83.44
2012-11-05,82.27
2012-11-06,83.57
2012-11-07,82.17
2012-11-08,81.94
2012-11-09,82.72
2012-11-12,83.11
2012-11-13,83.64
2012-11-14,82.22
2012-11-15,82.79
2012-11-16,82.76
2012-11-19,84.67
2012-11-20,85.89
2012-11-21,85.1
2012-11-23,86.98
2012-11-26,86.71
2012-11-27,86.12
2012-11-28,85.56
2012-11-29,86.43
2012-11-30,87.97
2012-12-03,88.29
2012-12-04,88.28
2012-12-05,87.6
2012-12-06,87.47
